City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
231,roald,0,NO,1525274400,43,62.58,6.12,57.2,12.75
232,grand gaube,40,MU,1525273200,61,-20.01,57.66,77.0,14.99
233,sorong,44,ID,1525277201,100,-0.86,131.25,83.04,9.86
234,san vicente,0,SV,1525272600,78,13.64,-88.78,89.6,6.93
235,saint andrews,44,NZ,1525277202,100,-44.53,171.19,39.48,2.37
236,kyaikkami,88,MM,1525277202,91,16.08,97.57,78.9,5.95
237,laguna,75,MX,1525272060,55,27.52,-110.01,66.2,0.92
238,pevek,0,RU,1525277203,61,69.7,170.27,4.74,2.59
239,scottsbluff,90,US,1525276380,100,41.87,-103.67,46.4,4.72
240,saint george,20,GR,1525276200,49,39.45,22.34,73.4,8.05
241,maningrida,64,AU,1525277203,81,-12.05,134.23,81.87,11.54
242,longyearbyen,40,NO,1525272600,80,78.22,15.63,33.8,3.36
243,lompoc,90,US,1525275300,87,34.64,-120.46,55.4,6.93
244,vestmannaeyjar,20,IS,1525273200,69,63.44,-20.27,39.2,8.05
245,pringsewu,20,ID,1525277205,75,-5.36,104.98,76.74,2.71
246,sulangan,56,PH,1525277206,100,11.14,123.72,83.04,8.63
247,tuatapere,44,NZ,1525277206,100,-46.13,167.69,47.49,5.61
248,san patricio,8,PY,1525277206,52,-26.98,-56.83,88.8,4.94
249,tuktoyaktuk,90,CA,1525273740,85,69.44,-133.03,12.2,2.24
250,aginskoye,0,RU,1525277207,57,51.11,114.54,38.4,6.96
251,ngunguru,0,NZ,1525277207,100,-35.62,174.5,63.15,18.14
252,cidreira,80,BR,1525277208,80,-30.17,-50.22,73.68,16.91
253,jangaon,0,IN,1525277208,60,17.72,79.16,82.14,6.51
254,vicente guerrero,40,MX,1525272240,60,16.93,-96.7,69.8,3.04
255,meulaboh,92,ID,1525277209,100,4.14,96.13,81.15,3.94
256,monterey,90,US,1525275300,71,36.6,-121.89,53.6,2.48
257,gibara,40,CU,1525272660,58,21.11,-76.13,84.2,8.05
258,portland,75,US,1525276380,71,45.52,-122.67,53.6,2.59
259,whithorn,20,JM,1525273200,66,18.26,-78.04,84.2,9.17
260,cabo san lucas,8,MX,1525277047,100,22.89,-109.91,69.99,11.21
261,innisfail,75,CA,1525273200,56,52.02,-113.95,44.6,6.93
262,xinmin,0,CN,1525275000,54,42.0,122.83,53.6,15.66
263,inskoy,80,RU,1525277211,75,54.43,86.44,40.92,9.53
264,mango,75,IT,1525274400,82,44.69,8.15,59.0,6.93
265,vao,76,EE,1525277213,70,59.1,26.19,51.72,10.98
266,atar,0,MR,1525277213,18,20.52,-13.05,88.98,7.96
267,la asuncion,75,EC,1525273200,77,-1.64,-78.74,60.8,3.36
268,stuttgart,0,DE,1525274400,51,48.78,9.18,60.8,9.17
269,vohibinany,92,MG,1525277223,79,-17.35,49.03,72.06,4.38
270,niort,90,FR,1525275000,93,46.32,-0.46,59.0,14.99
271,bathsheba,20,BB,1525273200,66,13.22,-59.52,86.0,18.34
272,nalut,0,LY,1525277224,27,31.86,10.98,70.8,20.27
273,taboga,12,NG,1525277225,62,6.37,5.65,91.77,3.71
274,san ramon,75,NI,1525273200,83,12.92,-85.84,69.8,11.41
275,hutchinson,75,US,1525274160,73,38.06,-97.93,77.0,21.92
276,buchanan,75,LR,1525276800,62,5.88,-10.05,89.6,11.41
277,pacific grove,90,US,1525275300,71,36.62,-121.92,53.6,2.48
278,ballina,75,IE,1525275000,24,54.11,-9.15,57.2,25.28
